EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,RegistryID,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
02,In Violation,,09/28/2015,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=VI1000160,Ground water,1040=Nitrate; 3100=Coliform (TCR); 5000=Lead and Copper Rule; 7500=Public Notice,09/11/2014,TNCWS,St. Thomas Island,,0,3,VI,09/28/2015,GW,N,,,78030,,19,6,1,12,1,1,Transient non-community system,,10,,1,,6,,215,,Yes,5000=Lead and Copper Rule,Private,,09/28/2015,P,VI1000160,Active,No,AL COHEN'S MALL,No,1,VVVVVVVVVVVVU,GW,0,2,0,A,1,1,3,,No,1,No,0,110049839680,5000=Lead and Copper Rule,09/28/2015,1,No,3,09/11/2014,1
02,No Violation,,02/05/2001,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=VI1000194,Ground water,3100=Coliform (TCR),,TNCWS,St. Thomas Island,,0,,VI,,GW,N,,,78030,,0,0,1,4,1,0,Transient non-community system,,,,,,,,27,,No,,Private,,02/05/2001,P,VI1000194,Active,No,AL COHEN'S PLAZA B-1,No,0,VVVV________U,GW,0,1,0,A,0,0,,,No,0,No,0,110049839680,,,0,No,,07/23/2007,1
02,No Violation,,01/22/2014,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=VI1000161,Ground water,3100=Coliform (TCR),,NTNCWS,St. Thomas Island,,0,1,VI,01/22/2014,GW,N,,,78030,,0,0,1,4,1,0,Non-Transient non-community system,,,,,,,,135,,No,,Private,,01/22/2014,P,VI1000161,Active,No,AL COHEN'S PLAZA B-2,No,0,VVVV________U,GW,0,1,0,A,1,0,,,No,1,No,0,110049839680,,01/22/2014,0,No,1,07/23/2007,1
02,Serious Violator,,07/28/2015,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=VI0000295,Ground water,0999=Chlorine; 1040=Nitrate; 3100=Coliform (TCR); 5000=Lead and Copper Rule; 7500=Public Notice,,NTNCWS,St. Croix Island,03/10/1993,0,4,VI,07/28/2015,GW,N,,1,78010,,48,15,1,12,1,4,Non-Transient non-community system,,13,,,0,,,587,1,Yes,0999=Chlorine; 3100=Coliform (TCR); 5000=Lead and Copper Rule; 7500=Public Notice,State government,,07/28/2015,S,VI0000295,Active,Yes,ALEXANDER HENDERSON,Yes,0,SSSSSSSSSSSSU,GW,0,5,12,A,1,1,20,0,Yes,1,No,1,110035426223,5000=Lead and Copper Rule; 7500=Public Notice,07/28/2015,0,Yes,4,01/23/2008,
02,Serious Violator,,06/29/2015,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=VI0000816,Ground water,0999=Chlorine; 1008=Chlorine dioxide; 1040=Nitrate; 5000=Lead and Copper Rule; 7500=Public Notice,,NTNCWS,St. Croix Island,03/10/1993,0,1,VI,06/29/2015,GW,N,,,78010,,18,13,1,12,1,4,Non-Transient non-community system,,,,,,1,,556,,Yes,0999=Chlorine; 5000=Lead and Copper Rule; 7500=Public Notice,State government,,06/29/2015,S,VI0000816,Active,No,ALFREDO ANDREWS,Yes,0,SSSSSSSSSSSSU,GW,0,4,12,A,1,1,5,,Yes,1,No,1,110035433910,7500=Public Notice,06/29/2015,0,Yes,1,01/23/2008,
02,In Violation,,11/18/2008,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=VI1000042,Ground water,3100=Coliform (TCR); 5000=Lead and Copper Rule,,NTNCWS,St. Thomas Island,,0,,VI,,GW,N,,,78030,,2,2,1,12,1,1,Non-Transient non-community system,,,,,,2,,400,,Yes,5000=Lead and Copper Rule,Private,,11/18/2008,P,VI1000042,Active,No,AMERICAN YACHT HARBOR,No,0,VVVVVVVVVVVVU,GW,0,2,0,A,0,1,,,No,0,No,0,110022878956,5000=Lead and Copper Rule,,0,No,,06/28/2012,
02,In Violation,,11/18/2008,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=VI1000082,Ground water,3100=Coliform (TCR); 5000=Lead and Copper Rule,08/07/2014,CWS,St. Thomas Island,,0,,VI,,GW,N,,,78030,,2,2,1,12,1,1,Community water system,,,,1,,2,,75,,Yes,5000=Lead and Copper Rule,Private,,11/18/2008,P,VI1000082,Active,No,ANCHORAGE CONDO'S,No,1,VVVVVVVVVVVVU,GW,0,2,0,A,0,1,,,No,0,No,0,110006800792,5000=Lead and Copper Rule,,1,No,,08/07/2014,1
02,No Violation,,07/31/2002,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=VI1000198,Ground water,3100=Coliform (TCR),,NTNCWS,St. Thomas Island,,0,,VI,07/15/2008,GW,N,,,78030,,0,0,1,4,1,0,Non-Transient non-community system,,,,,,,,77,,No,,State government,,07/31/2002,S,VI1000198,Active,No,ANNA'S RETREAT CENTER,No,0,VVVV________U,GW,0,1,0,A,0,0,,,No,0,No,0,110037079158,,07/15/2008,0,No,,,
02,In Violation,,09/28/2015,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=VI0000513,Ground water,1040=Nitrate; 3100=Coliform (TCR); 5000=Lead and Copper Rule; 7500=Public Notice,,NTNCWS,St. Thomas Island,,0,4,VI,09/28/2015,GW,N,,,78030,,17,2,1,12,1,1,Non-Transient non-community system,,15,,,,2,,540,,Yes,5000=Lead and Copper Rule,Private,,09/28/2015,P,VI0000513,Active,No,ANTILLES SCHOOL- GYM,No,0,VVVVVVVVVVVVU,GW,0,2,0,A,1,1,,,No,1,No,0,110043588427,5000=Lead and Copper Rule,09/28/2015,0,No,4,,
02,In Violation,,08/10/2012,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=VI0000396,Ground water,1040=Nitrate; 3100=Coliform (TCR); 7500=Public Notice,,NTNCWS,St. Croix Island,,0,,VI,08/10/2012,GW,N,,,78010,,11,6,1,12,1,2,Non-Transient non-community system,,,,,,,,649,,Yes,7500=Public Notice,State government,,08/10/2012,S,VI0000396,Active,No,ARTHUR A. RICHARDS,No,0,VVVVVVVVVVVVU,GW,0,3,0,A,0,1,5,,Yes,0,No,0,110022313824,7500=Public Notice,08/10/2012,0,Yes,,,
