EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
01,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=VT0020800,Surface water purchased,,11/07/2017,CWS,Bennington,,,,VT,07/18/2011,SW,N,,,50003,,0,0,1,0,0,0,Community water system,,,BENNINGTON,2,,,,290,,No,,Private,,,P,VT0020800,Active,No,100 MOUNTAIN VIEW ROAD PARK,No,2,_____________,SWP,0,0,0,A,0,0,,,No,0,No,0,,07/18/2011,1,No,,11/07/2017,2
01,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=VT0021139,Ground water,,06/27/2018,NTNCWS,Chittenden,,,,VT,02/27/2008,GW,N,,,50007,,0,0,1,0,0,0,Non-Transient non-community system,,,WILLISTON,2,,,,51,,No,,Private,,,P,VT0021139,Active,No,143-145 WINDRIDGE DRIVE,No,2,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,,02/27/2008,1,No,,06/27/2018,2
01,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=VT0001228,Ground water,1040=Nitrate; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,11/01/2018,TNCWS,Windham,,,49,VT,07/25/2017,GW,N,,,50025,,10,0,1,7,1,0,Transient non-community system,,,ROCKINGHAM,,,,,54,,No,8000=Revised Total Coliform Rule,Private,,,P,VT0001228,Active,No,16 MAIN STREET,No,2,VVVVVVV______,GW,0,2,0,A,0,0,10,,No,1,No,0,,07/25/2017,1,No,,11/01/2018,2
01,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=VT0000170,Ground water,3100=Coliform (TCR); 8000=Revised Total Coliform Rule,01/26/2016,TNCWS,Lamoille,,,11,VT,07/28/2017,GW,N,,,50015,,4,1,1,9,1,1,Transient non-community system,,,STOWE,1,,,,60,,Yes,8000=Revised Total Coliform Rule,Private,,,P,VT0000170,Active,No,1815 PUCKER STREET,No,1,V____VVVVVVVV,GW,0,2,0,A,0,1,3,,No,1,No,0,,07/28/2017,1,No,,01/26/2016,1
01,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=VT0021155,Ground water,1040=Nitrate; 3100=Coliform (TCR),06/13/2017,TNCWS,Washington,,,7,VT,02/29/2016,GW,N,,,50023,,6,0,1,4,1,0,Transient non-community system,,,WAITSFIELD,1,,,,178,,No,,Private,,,P,VT0021155,Active,No,1824 HOUSE,No,1,VVVV_________,GW,0,1,0,A,0,0,6,,No,1,No,0,,02/29/2016,1,No,,06/13/2017,1
01,Serious Violator,,,4,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=VT0021596,Ground water,"1005=Arsenic; 1010=Barium; 1015=Cadmium; 1020=Chromium; 1024=CYANIDE; 1025=Fluoride; 1035=Mercury; 1036=Nickel; 1040=Nitrate; 1045=Selenium; 1074=Antimony, Total; 1075=Beryllium, Total; 1085=Thallium, Total; 2005=Endrin; 2010=BHC-GAMMA; 2015=Methoxychlor; 2020=Toxaphene; 2035=Di(2-ethylhexyl) adipate; 2036=OXAMYL; 2037=Simazine; 2039=Di(2-ethylhexyl) phthalate; 2040=Picloram; 2041=Dinoseb; 2042=Hexachlorocyclopentadiene; 2046=Carbofuran; 2050=Atrazine; 2051=LASSO; 2065=Heptachlor; 2067=Heptachlor epoxide; 2105=2,4-D; 2110=2,4,5-TP; 2274=HEXACHLOROBENZENE; 2306=Benzo(a)pyrene; 2326=Pentachlorophenol; 2378=1,2,4-Trichlorobenzene; 2380=cis-1,2-Dichloroethylene; 2383=Total Polychlorinated Biphenyls (PCB); 2946=ETHYLENE DIBROMIDE; 2955=Xylenes, Total; 2959=Chlordane; 2964=DICHLOROMETHANE; 2968=o-Dichlorobenzene; 2969=p-Dichlorobenzene; 2976=Vinyl chloride; 2977=1,1-Dichloroethylene; 2979=trans-1,2-Dichloroethylene; 2980=1,2-Dichloroethane; 2981=1,1,1-Trichloroethane; 2982=Carbon tetrachloride; 2983=1,2-Dichloropropane; 2984=Trichloroethylene; 2985=1,1,2-Trichloroethane; 2987=Tetrachloroethylene; 2989=CHLOROBENZENE; 2990=Benzene; 2991=Toluene; 2992=Ethylbenzene; 2996=Styrene; 3014=E. COLI; 5000=Lead and Copper Rule; 7500=Public Notice; 8000=Revised Total Coliform Rule",12/12/2017,NTNCWS,Chittenden,,,73,VT,02/04/2019,GW,N,,,50007,,49,48,1,6,1,9,Non-Transient non-community system,,,MILTON,1,,,,25,,Yes,"1005=Arsenic; 1010=Barium; 1015=Cadmium; 1020=Chromium; 1024=CYANIDE; 1025=Fluoride; 1035=Mercury; 1036=Nickel; 1040=Nitrate; 1045=Selenium; 1074=Antimony, Total; 1075=Beryllium, Total; 1085=Thallium, Total; 2005=Endrin; 2010=BHC-GAMMA; 2015=Methoxychlor; 2020=Toxaphene; 2035=Di(2-ethylhexyl) adipate; 2036=OXAMYL; 2037=Simazine; 2039=Di(2-ethylhexyl) phthalate; 2040=Picloram; 2041=Dinoseb; 2042=Hexachlorocyclopentadiene; 2046=Carbofuran; 2050=Atrazine; 2051=LASSO; 2065=Heptachlor; 2067=Heptachlor epoxide; 2105=2,4-D; 2110=2,4,5-TP; 2274=HEXACHLOROBENZENE; 2306=Benzo(a)pyrene; 2326=Pentachlorophenol; 2378=1,2,4-Trichlorobenzene; 2380=cis-1,2-Dichloroethylene; 2383=Total Polychlorinated Biphenyls (PCB); 2946=ETHYLENE DIBROMIDE; 2955=Xylenes, Total; 2959=Chlordane; 2964=DICHLOROMETHANE; 2968=o-Dichlorobenzene; 2969=p-Dichlorobenzene; 2976=Vinyl chloride; 2977=1,1-Dichloroethylene; 2979=trans-1,2-Dichloroethylene; 2980=1,2-Dichloroethane; 2981=1,1,1-Trichloroethane; 2982=Carbon tetrachloride; 2983=1,2-Dichloropropane; 2984=Trichloroethylene; 2985=1,1,2-Trichloroethane; 2987=Tetrachloroethylene; 2989=CHLOROBENZENE; 2990=Benzene; 2991=Toluene; 2992=Ethylbenzene; 2996=Styrene; 3014=E. COLI; 5000=Lead and Copper Rule; 7500=Public Notice; 8000=Revised Total Coliform Rule",Private,,,P,VT0021596,Active,Yes,19 PRECAST ROAD,Yes,1,_______VSSSSV,GW,0,9,4,A,0,1,1,,No,1,Yes,1,3014=E. COLI; 5000=Lead and Copper Rule; 7500=Public Notice; 8000=Revised Total Coliform Rule,02/04/2019,1,No,,12/12/2017,1
01,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=VT0021237,Ground water,,,TNCWS,Bennington,,,,VT,10/19/2012,GW,N,,,50003,,0,0,1,0,0,0,Transient non-community system,,,WINHALL,,,,,30,,No,,Private,,,P,VT0021237,Active,No,7 ELEVEN STORE NO 32511,No,,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,,10/19/2012,0,No,,,
01,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=VT0021009,Ground water,,01/30/2007,TNCWS,Windham,,,,VT,,GW,N,,,50025,,0,0,1,0,0,0,Transient non-community system,,,DOVER,,,,,25,,No,,Private,,,P,VT0021009,Active,No,7 ELEVEN STORE NO 32512,No,,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,,,0,No,,01/30/2007,
01,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=VT0021349,Ground water,"1005=Arsenic; 1010=Barium; 1015=Cadmium; 1020=Chromium; 1024=CYANIDE; 1025=Fluoride; 1035=Mercury; 1036=Nickel; 1045=Selenium; 1074=Antimony, Total; 1075=Beryllium, Total; 1085=Thallium, Total; 2005=Endrin; 2010=BHC-GAMMA; 2015=Methoxychlor; 2020=Toxaphene; 2035=Di(2-ethylhexyl) adipate; 2036=OXAMYL; 2037=Simazine; 2039=Di(2-ethylhexyl) phthalate; 2040=Picloram; 2041=Dinoseb; 2042=Hexachlorocyclopentadiene; 2046=Carbofuran; 2050=Atrazine; 2051=LASSO; 2065=Heptachlor; 2067=Heptachlor epoxide; 2105=2,4-D; 2110=2,4,5-TP; 2274=HEXACHLOROBENZENE; 2306=Benzo(a)pyrene; 2326=Pentachlorophenol; 2383=Total Polychlorinated Biphenyls (PCB); 2946=ETHYLENE DIBROMIDE; 2959=Chlordane; 5000=Lead and Copper Rule",07/28/2016,NTNCWS,Washington,,,8,VT,05/23/2018,GW,N,,1,50023,,8,0,1,6,1,0,Non-Transient non-community system,,,BERLIN,1,0,,,51,1,No,"2005=Endrin; 2010=BHC-GAMMA; 2015=Methoxychlor; 2020=Toxaphene; 2035=Di(2-ethylhexyl) adipate; 2036=OXAMYL; 2037=Simazine; 2039=Di(2-ethylhexyl) phthalate; 2040=Picloram; 2041=Dinoseb; 2042=Hexachlorocyclopentadiene; 2046=Carbofuran; 2050=Atrazine; 2051=LASSO; 2065=Heptachlor; 2067=Heptachlor epoxide; 2105=2,4-D; 2110=2,4,5-TP; 2274=HEXACHLOROBENZENE; 2306=Benzo(a)pyrene; 2326=Pentachlorophenol; 2383=Total Polychlorinated Biphenyls (PCB); 2946=ETHYLENE DIBROMIDE; 2959=Chlordane; 5000=Lead and Copper Rule",Private,,,P,VT0021349,Active,No,802 TOYOTA,No,1,VSVV____VV___,GW,0,4,1,A,0,0,8,0,No,1,No,0,,05/23/2018,1,No,,07/28/2016,1
01,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=VT0001213,Ground water,,04/17/2012,TNCWS,Franklin,,,,VT,04/12/2007,GW,N,,,50011,,0,0,1,0,0,0,Transient non-community system,,,SHELDON,,,,,180,,No,,Private,,,P,VT0001213,Active,No,ABBEY PUB RESTAURANT,No,,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,,04/12/2007,0,No,,04/17/2012,
