EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
10,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=105300126,Ground water,0999=Chlorine; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,02/29/2016,TNCWS,,,,,WA,,GW,Y,,,53,02/29/2016,7,0,1,6,1,0,Transient non-community system,,,,1,,,,150,,No,0999=Chlorine; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,Native American,,,N,105300126,Active,No,101 BUILDING,No,1,VVV____VVV__U,GW,1,3,0,A,0,0,7,,No,0,No,0,,,1,No,,,1
10,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5389032,Ground water,,,TNCWS,Grays Harbor,,,,WA,08/31/1999,GW,N,,,53027,,0,0,1,0,0,0,Transient non-community system,,,,,,,,28,,No,,Private,,,P,WA5389032,Active,No,109 RV PARK & CAMPGROUND,No,,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,,08/31/1999,0,No,,,
10,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5324781,Ground water,1035=Mercury,06/25/2015,CWS,Pierce,,,,WA,06/30/1998,GW,N,,,53053,,1,0,1,11,1,0,Community water system,,,,1,,,,48,,No,1035=Mercury,Local government,,,L,WA5324781,Active,No,141ST AVE KPN -661,No,1,VVVVVVVVVVV__,GW,0,1,0,A,0,0,1,,No,0,No,0,,06/30/1998,1,No,,06/25/2015,1
10,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5301319,Ground water,,02/14/2017,TNCWS,Snohomish,,,,WA,,GW,N,,,53061,,0,0,1,0,0,0,Transient non-community system,,,,1,,,,35,,No,,Local government,,,L,WA5301319,Active,No,164TH ST ARTESIAN WELL,No,1,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,02/14/2017,1
10,Serious Violator,,,3,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=105300028,Ground water,"0999=Chlorine; 1005=Arsenic; 1010=Barium; 1015=Cadmium; 1020=Chromium; 1024=CYANIDE; 1025=Fluoride; 1035=Mercury; 1036=Nickel; 1040=Nitrate; 1045=Selenium; 1074=Antimony, Total; 1075=Beryllium, Total; 1085=Thallium, Total; 1094=Asbestos; 2005=Endrin; 2010=BHC-GAMMA; 2015=Methoxychlor; 2020=Toxaphene; 2031=Dalapon; 2032=Diquat; 2033=Endothall; 2034=Glyphosate; 2035=Di(2-ethylhexyl) adipate; 2036=OXAMYL; 2037=Simazine; 2039=Di(2-ethylhexyl) phthalate; 2040=Picloram; 2041=Dinoseb; 2042=Hexachlorocyclopentadiene; 2046=Carbofuran; 2050=Atrazine; 2051=LASSO; 2063=2,3,7,8-TCDD; 2065=Heptachlor; 2067=Heptachlor epoxide; 2105=2,4-D; 2110=2,4,5-TP; 2274=HEXACHLOROBENZENE; 2306=Benzo(a)pyrene; 2326=Pentachlorophenol; 2378=1,2,4-Trichlorobenzene; 2380=cis-1,2-Dichloroethylene; 2383=Total Polychlorinated Biphenyls (PCB); 2456=Total Haloacetic Acids (HAA5); 2931=1,2-DIBROMO-3-CHLOROPROPANE; 2946=ETHYLENE DIBROMIDE; 2950=TTHM; 2955=Xylenes, Total; 2959=Chlordane; 2964=DICHLOROMETHANE; 2968=o-Dichlorobenzene; 2969=p-Dichlorobenzene; 2976=Vinyl chloride; 2977=1,1-Dichloroethylene; 2979=trans-1,2-Dichloroethylene; 2980=1,2-Dichloroethane; 2981=1,1,1-Trichloroethane; 2982=Carbon tetrachloride; 2983=1,2-Dichloropropane; 2984=Trichloroethylene; 2985=1,1,2-Trichloroethane; 2987=Tetrachloroethylene; 2989=CHLOROBENZENE; 2990=Benzene; 2991=Toluene; 2992=Ethylbenzene; 2996=Styrene; 3100=Coliform (TCR); 4000=Gross Alpha, Excl. Radon and U; 4006=Combined Uranium; 4010=Combined Radium (-226 and -228); 5000=Lead and Copper Rule; 7000=Consumer Confidence Rule; 8000=Revised Total Coliform Rule",09/08/2017,CWS,,01/13/1994,,,WA,,GW,Y,,,53,09/08/2017,75,13,1,12,1,4,Community water system,,,DEMING,2,,,,150,,Yes,"0999=Chlorine; 1040=Nitrate; 1094=Asbestos; 4000=Gross Alpha, Excl. Radon and U; 4006=Combined Uranium; 4010=Combined Radium (-226 and -228); 5000=Lead and Copper Rule; 7000=Consumer Confidence Rule; 8000=Revised Total Coliform Rule",Native American,,,N,105300028,Active,Yes,5 CEDARS,Yes,2,SSSSSVVVSSVSU,GW,1,9,8,A,0,1,62,,Yes,0,No,1,1040=Nitrate; 5000=Lead and Copper Rule; 7000=Consumer Confidence Rule; 8000=Revised Total Coliform Rule,01/13/1994,1,No,,,2
10,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5365071,Ground water,8000=Revised Total Coliform Rule,,TNCWS,Chelan,,,,WA,12/31/1996,GW,N,,,53007,,4,0,1,5,1,1,Transient non-community system,,,,,,,,134,,No,8000=Revised Total Coliform Rule,Private,,,P,WA5365071,Active,No,59ER DINER,No,,______VVV__VV,GW,0,1,0,A,0,0,4,,No,0,No,0,8000=Revised Total Coliform Rule,12/31/1996,0,No,,,
10,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5337925,Surface water purchased,,,CWS,Snohomish,04/23/1993,,,WA,09/30/1999,SW,N,,,53061,,0,0,1,0,0,0,Community water system,,,,,,,,35,,No,,Private,,,P,WA5337925,Active,No,60TH STREET WATER WORKS,No,,_____________,SWP,0,0,0,A,0,0,,,No,0,No,0,,09/30/1999,0,No,,,
10,No Violation,,,3,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=105300108,Ground water,0999=Chlorine; 5000=Lead and Copper Rule,10/13/2016,NTNCWS,,,,,WA,,GW,Y,,,53,10/13/2016,3,0,1,5,1,0,Non-Transient non-community system,,,SEQUIM,1,,,5,450,,No,,Native American,,,N,105300108,Active,No,7 CEDARS CASINO,No,1,_V_VV____VV_U,GW,1,1,0,A,0,0,3,,No,0,No,0,,,1,No,,,1
10,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5302728,Ground water,,,TNCWS,Pierce,,,,WA,02/28/2013,GW,N,,,53053,,0,0,1,0,0,0,Transient non-community system,,,,,,,,128,,No,,Private,,,P,WA5302728,Active,No,79th Ave Community Water Assoc,No,,_____________,GW,0,0,0,A,0,0,,,No,0,No,0,,02/28/2013,0,No,,,
10,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WA5322590,Ground water,1035=Mercury,04/30/2018,CWS,King,,,,WA,12/31/1998,GW,N,,,53033,,1,0,1,10,1,0,Community water system,,,,1,,,,55,,No,1035=Mercury,Private,,,P,WA5322590,Active,No,85 Acres,No,1,VVVVVVVVVV___,GW,0,1,0,A,0,0,1,,No,0,No,0,,12/31/1998,1,No,,04/30/2018,1
