EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
03,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WV9913102,Ground water,0700=Groundwater Rule; 1040=Nitrate; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,12/26/2017,TNCWS,Greenbrier,,,26,WV,11/16/2018,GW,N,,,54025,,21,1,1,11,1,1,Transient non-community system,12/26/2017,,WILLIAMSBURG,1,,,,25,,Yes,0700=Groundwater Rule; 1040=Nitrate; 8000=Revised Total Coliform Rule,Private,,,P,WV9913102,Active,No,ACCESS HEALTH WILLIAMSBURG,No,4,VVVVVVVVV_VVU,GW,0,3,0,A,0,1,20,,No,1,No,0,,11/16/2018,1,No,,,4
03,In Violation,,,4,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WV3304911,Surface water purchased,0800=Long Term 2 Enhanced Surface Water Treatment Rule; 7500=Public Notice,02/22/2017,CWS,Upshur,08/29/2001,,4,WV,11/06/2017,SW,N,,,54097,,6,5,1,8,1,1,Community water system,02/22/2017,,FRENCH CREEK,2,,,,4831,,No,0800=Long Term 2 Enhanced Surface Water Treatment Rule,Public/Private,,,M,WV3304911,Active,Yes,ADRIAN P S D,No,13,____VVVVVVVVU,SWP,0,2,0,A,0,1,1,,No,1,No,0,0800=Long Term 2 Enhanced Surface Water Treatment Rule,11/06/2017,1,No,,,13
03,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WV9931044,Surface water purchased,,05/16/2017,TNCWS,Monongalia,,,,WV,,SW,N,,,54061,,0,0,1,0,0,0,Transient non-community system,05/16/2017,,MORGANTOWN,1,,,,25,,No,,Private,,,P,WV9931044,Active,No,ADVENTURE WEST VIRGINIA,No,1,____________U,SWP,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,,1
03,Serious Violator,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WV3303901,Surface water purchased,0200=Surface Water Treatment Rule; 0800=Long Term 2 Enhanced Surface Water Treatment Rule; 0999=Chlorine; 2456=Total Haloacetic Acids (HAA5); 2950=TTHM; 5000=Lead and Copper Rule; 7000=Consumer Confidence Rule; 7500=Public Notice; 8000=Revised Total Coliform Rule,12/06/2018,CWS,Preston,09/10/2002,,53,WV,11/15/2018,SW,N,,,54077,,28,11,1,12,1,4,Community water system,12/06/2018,,ALBRIGHT,2,,,,333,,Yes,0200=Surface Water Treatment Rule; 0999=Chlorine; 2456=Total Haloacetic Acids (HAA5); 2950=TTHM; 5000=Lead and Copper Rule; 7000=Consumer Confidence Rule; 7500=Public Notice; 8000=Revised Total Coliform Rule,Local government,,,L,WV3303901,Active,No,ALBRIGHT TOWN OF,Yes,2,VVVVVVVVVVSSU,SWP,0,8,2,A,0,1,17,,Yes,1,No,1,5000=Lead and Copper Rule; 7000=Consumer Confidence Rule; 7500=Public Notice,11/15/2018,1,Yes,,,2
03,No Violation,,,3,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WV3301315,Surface water,0200=Surface Water Treatment Rule; 0800=Long Term 2 Enhanced Surface Water Treatment Rule; 0999=Chlorine; 3100=Coliform (TCR),11/21/2018,CWS,Greenbrier,,,4,WV,02/15/2017,SW,N,,,54025,,4,0,1,2,1,0,Community water system,11/21/2018,,ALDERSON,1,,,,2458,,No,,Local government,,,L,WV3301315,Active,No,ALDERSON WATER,No,30,__VV________U,SW,0,1,0,A,0,0,4,,No,1,No,0,,02/15/2017,1,No,,,30
03,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WV9913054,Ground water,0700=Groundwater Rule; 1040=Nitrate; 3100=Coliform (TCR); 7500=Public Notice; 8000=Revised Total Coliform Rule,02/06/2018,TNCWS,Greenbrier,,,16,WV,08/15/2018,GW,N,,,54025,,23,5,1,12,1,1,Transient non-community system,02/06/2018,,RAINELLE,1,,,,25,,Yes,0700=Groundwater Rule; 1040=Nitrate; 8000=Revised Total Coliform Rule,Private,,,P,WV9913054,Active,No,ALFREDOS,No,1,VVVVVVVVVVVVU,GW,0,4,0,A,0,1,18,,No,1,No,0,1040=Nitrate,08/15/2018,1,No,,,1
03,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WV3301977,Ground water,0999=Chlorine,07/27/2015,TNCWS,Jefferson,,,,WV,08/02/2007,GW,N,,,54037,,1,1,1,1,1,1,Transient non-community system,07/27/2015,,"BAKERTON, HARPERS FERRY",1,,,,157,,Yes,0999=Chlorine,Private,,,P,WV3301977,Active,No,ALLENS WONDERLAND,No,2,___________VU,GW,0,1,0,A,0,1,,,No,0,No,0,0999=Chlorine,08/02/2007,1,No,,,2
03,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WV3303921,Ground water,,04/10/2018,CWS,Preston,08/29/2001,,,WV,09/08/2003,GW,N,,,54077,,0,0,1,0,0,0,Community water system,04/10/2018,,TERRA ALTA,2,,,,1339,,No,,Local government,,,L,WV3303921,Active,No,ALPINE LAKE PUBLIC UTILITIES,No,5,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,09/08/2003,1,No,,,5
03,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WV9942043,Ground water,0700=Groundwater Rule; 1040=Nitrate; 7500=Public Notice,12/11/2012,TNCWS,Randolph,,,10,WV,07/09/2018,GW,N,,,54083,,13,6,1,9,1,2,Transient non-community system,12/11/2012,,BOWDEN,,,,,25,,Yes,0700=Groundwater Rule; 1040=Nitrate; 7500=Public Notice,Private,,,P,WV9942043,Active,No,ALPINE SHORE INC - CAMPGROUND,No,,VVV___VVVVVVU,GW,0,3,0,A,0,1,7,,Yes,1,No,0,1040=Nitrate; 7500=Public Notice,07/09/2018,0,Yes,,,
03,Serious Violator,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WV9942096,Ground water,0700=Groundwater Rule; 1040=Nitrate; 3100=Coliform (TCR); 7500=Public Notice; 8000=Revised Total Coliform Rule,12/11/2012,TNCWS,Randolph,,,15,WV,09/12/2017,GW,N,,,54083,,18,10,1,12,1,2,Transient non-community system,12/11/2012,,BOWDEN,,,,,60,,Yes,0700=Groundwater Rule; 1040=Nitrate; 7500=Public Notice; 8000=Revised Total Coliform Rule,Private,,,P,WV9942096,Active,No,ALPINE SHORES - UPPER CAMPGROUND,Yes,,SVVVVVVVVVVSU,GW,0,4,2,A,0,1,8,,Yes,1,No,1,1040=Nitrate; 7500=Public Notice,09/12/2017,0,Yes,,,
