EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
08,No Violation,09/12/2007,09/12/2007,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WY5600566,Ground water,8000=Revised Total Coliform Rule,06/20/2014,TNCWS,Park,03/12/2003,,,WY,,GW,N,,,56029,06/20/2014,5,0,1,2,1,0,Transient non-community system,,,CODY,1,,,,51,,No,,Private,,,P,WY5600566,Active,No,7D RANCH,No,1,____VV______U,GW,0,1,0,A,0,0,5,,No,0,No,0,,03/12/2003,1,No,,,1
08,No Violation,04/02/2015,04/02/2015,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WY5600179,Ground water,0700=Groundwater Rule; 1038=Nitrate-Nitrite; 2964=DICHLOROMETHANE,10/05/2017,CWS,Fremont,11/05/2014,,2,WY,,GW,N,,,56013,10/05/2017,6,0,1,3,1,0,Community water system,,5,RIVERTON,2,,,,100,,No,,Private,,,P,WY5600179,Active,No,A & J MOBILE HOME PARK,No,2,VVV_________U,GW,0,1,0,A,1,0,1,,No,1,No,0,,11/05/2014,1,No,2,,2
08,No Violation,05/03/2010,05/03/2010,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WY5600334,Ground water,3014=E. COLI; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,08/01/2016,TNCWS,Carbon,12/01/2017,,2,WY,,GW,N,,,56007,08/01/2016,4,0,1,8,1,0,Transient non-community system,,,ENCAMPMENT,1,,,,200,,No,8000=Revised Total Coliform Rule,Private,,,P,WY5600334,Active,No,A BAR A RANCH,No,1,_VVV__VVVVV_U,GW,0,1,0,A,0,0,4,,No,1,No,0,,12/01/2017,1,No,,,1
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WY5600467,Ground water,3100=Coliform (TCR); 8000=Revised Total Coliform Rule,08/26/2014,TNCWS,Park,09/30/1981,,,WY,,GW,N,,,56029,08/26/2014,10,0,1,2,1,0,Transient non-community system,,,WAPITI,1,,,,65,,No,,Private,,,P,WY5600467,Active,No,ABSAROKA LODGE,No,1,____VV______U,GW,0,1,0,A,0,0,10,,No,0,No,0,,09/30/1981,1,No,,,1
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WY5600983,Ground water,1038=Nitrate-Nitrite; 8000=Revised Total Coliform Rule,07/09/2014,TNCWS,Fremont,08/16/2017,,2,WY,,GW,N,,,56013,07/09/2014,5,0,1,2,1,0,Transient non-community system,,,DUBOIS,1,,,,41,,No,,Private,,,P,WY5600983,Active,No,ABSAROKA RANCH,No,1,_____VV_____U,GW,0,1,0,A,0,0,5,,No,1,No,0,,08/16/2017,1,No,,,1
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WY5600002,Ground water,"2378=1,2,4-Trichlorobenzene; 2380=cis-1,2-Dichloroethylene; 2456=Total Haloacetic Acids (HAA5); 2950=TTHM; 2955=Xylenes, Total; 2964=DICHLOROMETHANE; 2968=o-Dichlorobenzene; 2969=p-Dichlorobenzene; 2976=Vinyl chloride; 2977=1,1-Dichloroethylene; 2979=trans-1,2-Dichloroethylene; 2980=1,2-Dichloroethane; 2981=1,1,1-Trichloroethane; 2982=Carbon tetrachloride; 2983=1,2-Dichloropropane; 2984=Trichloroethylene; 2985=1,1,2-Trichloroethane; 2987=Tetrachloroethylene; 2989=CHLOROBENZENE; 2990=Benzene; 2991=Toluene; 2992=Ethylbenzene; 2996=Styrene; 5000=Lead and Copper Rule; 7000=Consumer Confidence Rule",10/15/2018,CWS,Lincoln,12/04/2018,,1,WY,,GW,N,,,56023,10/15/2018,3,0,1,1,1,1,Community water system,,,AFTON,2,,,,1818,,No,7000=Consumer Confidence Rule,Local government,,,L,WY5600002,Active,No,"AFTON, BOARD OF PUB UTILITIES",No,2,___________VU,GW,0,1,0,A,0,0,3,,No,1,No,0,7000=Consumer Confidence Rule,12/04/2018,1,No,,,2
08,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WY5601654,Ground water,3100=Coliform (TCR); 8000=Revised Total Coliform Rule,03/27/2014,TNCWS,Converse,,,,WY,,GW,N,,,56009,03/27/2014,3,2,1,4,1,1,Transient non-community system,,,GLENROCK,1,,,,26,,Yes,8000=Revised Total Coliform Rule,Private,,,P,WY5601654,Active,No,AILPORT PROPERTIES WYOMING,No,1,________VVVVU,GW,0,1,0,A,0,1,1,,No,0,No,0,,,1,No,,,1
08,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WY5600080,Surface water purchased,7000=Consumer Confidence Rule; 8000=Revised Total Coliform Rule,07/18/2017,CWS,Natrona,08/14/2018,,2,WY,,SW,N,,,56025,07/18/2017,2,1,1,6,1,1,Community water system,,,MILLS,2,,,,215,,No,8000=Revised Total Coliform Rule,Private,,,P,WY5600080,Active,No,AIR BASE ACRES IMPROVEMENT & SERVICE DIS,No,2,______VVVVVVU,SWP,0,2,0,A,0,1,1,,Yes,1,No,0,8000=Revised Total Coliform Rule,08/14/2018,1,No,,,2
08,Serious Violator,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WY5600313,Ground water,1038=Nitrate-Nitrite; 1041=Nitrite; 8000=Revised Total Coliform Rule,06/20/2018,TNCWS,Albany,01/31/2001,,,WY,,GW,N,,,56001,06/20/2018,19,13,1,4,1,2,Transient non-community system,,,LARAMIE,1,,,,250,,Yes,1038=Nitrate-Nitrite; 1041=Nitrite; 8000=Revised Total Coliform Rule,Private,,,P,WY5600313,Active,No,AKAL TRAVEL CENTER,Yes,1,________VVSSU,GW,0,2,2,A,0,1,6,,No,0,No,1,8000=Revised Total Coliform Rule,01/31/2001,1,No,,,1
08,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=WY5601489,Ground water,,08/17/2018,TNCWS,Crook,,,,WY,,GW,N,,,56011,08/17/2018,0,0,1,0,0,0,Transient non-community system,,,,1,,,,62,,No,,Private,,,P,WY5601489,Active,No,"ALADDIN, TOWN OF",No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,,1
