site_no,url,lat,long,id,county,state,hydrolic_unit_id,id2
023432415,https://waterdata.usgs.gov/nwis/inventory/?site_no=023432415&agency_cd=USGS,31.621389,85.06,NAD83,Henry County,Alabama,03130004,NGVD29
02397530,https://waterdata.usgs.gov/nwis/inventory/?site_no=02397530&agency_cd=USGS,34.201667,85.4475,NAD27,Cherokee County,Alabama,03150105,NAVD88
02400100,https://waterdata.usgs.gov/nwis/inventory/?site_no=02400100&agency_cd=USGS,34.065,85.614167,NAD27,Cherokee County,Alabama,03150105,NGVD29
02405500,https://waterdata.usgs.gov/nwis/inventory/?site_no=02405500&agency_cd=USGS,33.4475,86.386944,NAD27,Shelby County,Alabama,03150106,NGVD29
02407514,https://waterdata.usgs.gov/nwis/inventory/?site_no=02407514&agency_cd=USGS,33.320556,86.495278,NAD27,Shelby County,Alabama,03150107,
02412000,https://waterdata.usgs.gov/nwis/inventory/?site_no=02412000&agency_cd=USGS,33.622778,85.513333,NAD27,Cleburne County,Alabama,03150108,NGVD29
02413300,https://waterdata.usgs.gov/nwis/inventory/?site_no=02413300&agency_cd=USGS,33.437222,85.399167,NAD27,Randolph County,Alabama,03150108,NGVD29
02414500,https://waterdata.usgs.gov/nwis/inventory/?site_no=02414500&agency_cd=USGS,33.116667,85.560833,NAD27,Randolph County,Alabama,03150109,NGVD29
02414715,https://waterdata.usgs.gov/nwis/inventory/?site_no=02414715&agency_cd=USGS,32.977222,85.739722,NAD27,Tallapoosa County,Alabama,03150109,NGVD29
02419890,https://waterdata.usgs.gov/nwis/inventory/?site_no=02419890&agency_cd=USGS,32.439722,86.195556,NAD27,Montgomery County,Alabama,03150110,NGVD29
02423130,https://waterdata.usgs.gov/nwis/inventory/?site_no=02423130&agency_cd=USGS,33.622222,86.599444,NAD27,Jefferson County,Alabama,03150202,NGVD29
02423160,https://waterdata.usgs.gov/nwis/inventory/?site_no=02423160&agency_cd=USGS,33.603611,86.549167,NAD27,St. Clair County,Alabama,03150202,
02423380,https://waterdata.usgs.gov/nwis/inventory/?site_no=02423380&agency_cd=USGS,33.481667,86.712778,NAD27,Jefferson County,Alabama,03150202,NGVD29
02423397,https://waterdata.usgs.gov/nwis/inventory/?site_no=02423397&agency_cd=USGS,33.534444,86.5625,NAD27,Jefferson County,Alabama,03150202,NGVD29
02423496,https://waterdata.usgs.gov/nwis/inventory/?site_no=02423496&agency_cd=USGS,33.369167,86.784167,NAD27,Jefferson County,Alabama,03150202,NGVD29
0242354650,https://waterdata.usgs.gov/nwis/inventory/?site_no=0242354650&agency_cd=USGS,33.344833,86.759431,NAD27,Shelby County,Alabama,03150202,
02423555,https://waterdata.usgs.gov/nwis/inventory/?site_no=02423555&agency_cd=USGS,33.284444,86.8825,NAD27,Shelby County,Alabama,03150202,NGVD29
02423571,https://waterdata.usgs.gov/nwis/inventory/?site_no=02423571&agency_cd=USGS,33.520833,86.716944,NAD27,Jefferson County,Alabama,03150202,NGVD29
02423586,https://waterdata.usgs.gov/nwis/inventory/?site_no=02423586&agency_cd=USGS,33.448611,86.813611,NAD27,Jefferson County,Alabama,03150202,
02423647,https://waterdata.usgs.gov/nwis/inventory/?site_no=02423647&agency_cd=USGS,33.098056,87.054722,NAD27,Bibb County,Alabama,03150202,NGVD29
02450250,https://waterdata.usgs.gov/nwis/inventory/?site_no=02450250&agency_cd=USGS,34.285278,87.398889,NAD27,Winston County,Alabama,03160110,NGVD29
02453500,https://waterdata.usgs.gov/nwis/inventory/?site_no=02453500&agency_cd=USGS,33.7575,87.170278,NAD27,Walker County,Alabama,03160109,NGVD29
02455980,https://waterdata.usgs.gov/nwis/inventory/?site_no=02455980&agency_cd=USGS,33.711111,86.696111,NAD27,Jefferson County,Alabama,03160111,NGVD29
02457595,https://waterdata.usgs.gov/nwis/inventory/?site_no=02457595&agency_cd=USGS,33.596944,86.868056,NAD27,Jefferson County,Alabama,03160111,
02458148,https://waterdata.usgs.gov/nwis/inventory/?site_no=02458148&agency_cd=USGS,33.576944,86.718889,NAD27,Jefferson County,Alabama,03160111,
02458450,https://waterdata.usgs.gov/nwis/inventory/?site_no=02458450&agency_cd=USGS,33.5175,86.879167,NAD27,Jefferson County,Alabama,03160111,NGVD29
02458502,https://waterdata.usgs.gov/nwis/inventory/?site_no=02458502&agency_cd=USGS,33.523889,86.891111,NAD27,Jefferson County,Alabama,03160111,NAVD88
02461130,https://waterdata.usgs.gov/nwis/inventory/?site_no=02461130&agency_cd=USGS,33.505772,86.836456,NAD83,Jefferson County,Alabama,03160112,NAVD88
02461192,https://waterdata.usgs.gov/nwis/inventory/?site_no=02461192&agency_cd=USGS,33.492611,86.872172,NAD83,Jefferson County,Alabama,03160112,NAVD88
02461405,https://waterdata.usgs.gov/nwis/inventory/?site_no=02461405&agency_cd=USGS,33.425556,86.952778,NAD27,Jefferson County,Alabama,03160112,
02469100,https://waterdata.usgs.gov/nwis/inventory/?site_no=02469100&agency_cd=USGS,32.2375,88.008333,NAD27,Choctaw County,Alabama,03160201,
15015595,https://waterdata.usgs.gov/nwis/inventory/?site_no=15015595&agency_cd=USGS,56.240556,130.880278,NAD27,Ketchikan Gateway Borough,Alaska,19010105,NGVD29
15041200,https://waterdata.usgs.gov/nwis/inventory/?site_no=15041200&agency_cd=USGS,58.538611,133.7,NAD27,City And Borough Of Juneau,Alaska,19010304,NGVD29
15056210,https://waterdata.usgs.gov/nwis/inventory/?site_no=15056210&agency_cd=USGS,59.511944,135.344444,NAD27,Skagway Municipality,Alaska,19010303,NAVD88
15057596,https://waterdata.usgs.gov/nwis/inventory/?site_no=15057596&agency_cd=USGS,58.445,135.74,NAD27,Hoonah-Angoon Census Area County,Alaska,19010302,NAVD88
15068040,https://waterdata.usgs.gov/nwis/inventory/?site_no=15068040&agency_cd=USGS,55.519444,131.522778,NAD27,Ketchikan Gateway Borough,Alaska,19010102,NAVD88
15081497,https://waterdata.usgs.gov/nwis/inventory/?site_no=15081497&agency_cd=USGS,55.801389,133.108611,NAD27,Prince Of Wales-Hyder Census Area County,Alaska,19010103,NGVD29
15085100,https://waterdata.usgs.gov/nwis/inventory/?site_no=15085100&agency_cd=USGS,55.395556,132.406944,NAD27,Prince Of Wales-Hyder Census Area County,Alaska,19010103,NGVD29
15087700,https://waterdata.usgs.gov/nwis/inventory/?site_no=15087700&agency_cd=USGS,57.053333,135.314444,NAD27,City And Borough Of Sitka,Alaska,19010212,NGVD29
15129300,https://waterdata.usgs.gov/nwis/inventory/?site_no=15129300&agency_cd=USGS,59.4175,139.0175,NAD27,City And Borough Of Yakutat,Alaska,19010405,NGVD29
15129500,https://waterdata.usgs.gov/nwis/inventory/?site_no=15129500&agency_cd=USGS,59.586667,139.4925,NAD27,City And Borough Of Yakutat,Alaska,19010405,NGVD29
15200280,https://waterdata.usgs.gov/nwis/inventory/?site_no=15200280&agency_cd=USGS,62.520833,145.530833,NAD27,Valdez-Cordova Census Area County,Alaska,19020102,NAVD88
15215900,https://waterdata.usgs.gov/nwis/inventory/?site_no=15215900&agency_cd=USGS,60.533333,145.378611,NAD27,Valdez-Cordova Census Area County,Alaska,19020104,NGVD29
15236900,https://waterdata.usgs.gov/nwis/inventory/?site_no=15236900&agency_cd=USGS,60.370556,148.896667,NAD27,Kenai Peninsula Borough,Alaska,19020201,NGVD29
15238986,https://waterdata.usgs.gov/nwis/inventory/?site_no=15238986&agency_cd=USGS,59.762333,150.953056,NAD27,Kenai Peninsula Borough,Alaska,19020301,NAVD88
15238990,https://waterdata.usgs.gov/nwis/inventory/?site_no=15238990&agency_cd=USGS,59.700556,150.7025,NAD27,Kenai Peninsula Borough,Alaska,19020301,NGVD29
15239060,https://waterdata.usgs.gov/nwis/inventory/?site_no=15239060&agency_cd=USGS,59.798333,150.863333,NAD27,Kenai Peninsula Borough,Alaska,19020301,NGVD29
15239070,https://waterdata.usgs.gov/nwis/inventory/?site_no=15239070&agency_cd=USGS,59.801667,150.882778,NAD27,Kenai Peninsula Borough,Alaska,19020301,NGVD29
15239900,https://waterdata.usgs.gov/nwis/inventory/?site_no=15239900&agency_cd=USGS,59.747222,151.753056,NAD27,Kenai Peninsula Borough,Alaska,19020301,NAVD88
